"genelist","converted_alias"
"Zfyve9","ENSG00000157077"
"Btf3l4","ENSG00000134717"
"Txndc12","ENSG00000117862"
"Kti12","ENSG00000198841"
"Rab3b","ENSG00000169213"
"Osbpl9","ENSG00000117859"
"Eps15","ENSG00000085832"
"Ttc39a","ENSG00000085831"
"Rnf11","ENSG00000123091"
"4930522H14Rik","ENSG00000204006"
"Cdkn2c","ENSG00000123080"
"Faf1","ENSG00000185104"
"Dmrta2","ENSG00000142700"
"Elavl4","ENSG00000162374"
"Agbl4","ENSG00000186094"
"Bend5","ENSG00000162373"
"Spata6","ENSG00000132122"
"Slc5a9","ENSG00000117834"
"Trabd2b","ENSG00000269113"
"Foxd2","ENSG00000186564"
"Cmpk1","ENSG00000162368"
"Stil","ENSG00000123473"
"Tal1","ENSG00000162367"
"Pdzk1ip1","ENSG00000162366"
"Cyp4x1","ENSG00000186377"
"Cyp4a12a","ENSG00000162365"
"Cyp4a12b","ENSG00000162365"
"Cyp4a10","ENSG00000187048"
"Cyp4a31","ENSG00000187048"
"Cyp4a32","ENSG00000187048"
"Cyp4b1","ENSG00000142973"
"Efcab14","ENSG00000159658"
"Tex38","ENSG00000186118"
"Atpaf1","ENSG00000123472"
"Mob3c","ENSG00000142961"
"Mknk1","ENSG00000079277"
"Kncn","ENSG00000162456"
"Dmbx1","ENSG00000197587"
"Faah","ENSG00000117480"
"Nsun4","ENSG00000117481"
"Uqcrh","ENSG00000233954"
"Lrrc41","ENSG00000132128"
"Rad54l","ENSG00000085999"
"Pomgnt1","ENSG00000085998"
"Lurap1","ENSG00000171357"
"Tspan1","ENSG00000117472"
"Pik3r3","ENSG00000117461"
"Mast2","ENSG00000086015"
"Ipp","ENSG00000197429"
"Tmem69","ENSG00000159596"
"Gpbp1l1","ENSG00000159592"
"Ccdc17","ENSG00000159588"
"Nasp","ENSG00000132780"
"Akr1a1","ENSG00000117448"
"Prdx1","ENSG00000117450"
"Mmachc","ENSG00000132763"
"Tesk2","ENSG00000070759"
"Toe1","ENSG00000132773"
"Mutyh","ENSG00000132781"
"Hpdl","ENSG00000186603"
"Zswim5","ENSG00000162415"
"Urod","ENSG00000126088"
"Hectd3","ENSG00000126107"
"Eif2b3","ENSG00000070785"
"Ptch2","ENSG00000117425"
"Plk3","ENSG00000173846"
"Rps8","ENSG00000142937"
"Kif2c","ENSG00000142945"
"Tmem53","ENSG00000126106"
"Rnf220","ENSG00000187147"
"Eri3","ENSG00000117419"
"Dmap1","ENSG00000178028"
"Klf17","ENSG00000171872"
"Slc6a9","ENSG00000196517"
"B4galt2","ENSG00000117411"
"Atp6v0b","ENSG00000117410"
"Dph2","ENSG00000132768"
"Ipo13","ENSG00000117408"
"Artn","ENSG00000117407"
"St3gal3","ENSG00000126091"
"Kdm4a","ENSG00000066135"
"Ptprf","ENSG00000142949"
"Szt2","ENSG00000198198"
"Med8","ENSG00000159479"
"Elovl1","ENSG00000066322"
"Cdc20","ENSG00000117399"
"Mpl","ENSG00000117400"
"Tie1","ENSG00000066056"
"2610528J11Rik","ENSG00000253313"
"Tmem125","ENSG00000179178"
"Ebna1bp2","ENSG00000117395"
"Slc2a1","ENSG00000117394"
"Zfp691","ENSG00000164011"
"Ermap","ENSG00000164010"
"AU022252","ENSG00000164008"
"Cldn19","ENSG00000164007"
"Ybx1","ENSG00000065978"
"Ppih","ENSG00000171960"
"Ppcs","ENSG00000127125"
"Zmynd12","ENSG00000066185"
"Rimkla","ENSG00000177181"
"Foxj3","ENSG00000198815"
"Guca2a","ENSG00000197273"
"Guca2b","ENSG00000044012"
"Hivep3","ENSG00000127124"
"Edn2","ENSG00000127129"
"Foxo6","ENSG00000204060"
"Scmh1","ENSG00000010803"
"Slfnl1","ENSG00000171790"
"Ctps","ENSG00000171793"
"Cited4","ENSG00000179862"
"Kcnq4","ENSG00000117013"
"Nfyc","ENSG00000066136"
"Rims3","ENSG00000117016"
"Exo5","ENSG00000164002"
"Zfp69","ENSG00000187815"
"Smap2","ENSG00000084070"
"Col9a2","ENSG00000049089"
"Zmpste24","ENSG00000084073"
"Tmco2","ENSG00000188800"
"Rlf","ENSG00000117000"
"Ppt1","ENSG00000131238"
"Cap1","ENSG00000131236"
"Mfsd2a","ENSG00000168389"
"Mycl","ENSG00000116990"
"Trit1","ENSG00000043514"
"Ppie","ENSG00000084072"
"Hpcal4","ENSG00000116983"
"Nt5c1a","ENSG00000116981"
"Heyl","ENSG00000163909"
"Pabpc4","ENSG00000090621"
"Bmp8a","ENSG00000183682"
"Akirin1","ENSG00000174574"
"Rhbdl2","ENSG00000158315"
"Mycbp","ENSG00000214114"
"Rragc","ENSG00000116954"
"Fhl3","ENSG00000183386"
"Sf3a3","ENSG00000183431"
"Inpp5b","ENSG00000204084"
"Mtf1","ENSG00000188786"
"Yrdc","ENSG00000196449"
"Maneal","ENSG00000185090"
"Epha10","ENSG00000183317"
"Cdca8","ENSG00000134690"
"Rspo1","ENSG00000169218"
"Gnl2","ENSG00000134697"
"Dnali1","ENSG00000163879"
"Snip1","ENSG00000163877"
"Meaf6","ENSG00000163875"
"Zc3h12a","ENSG00000163874"
"Grik3","ENSG00000163873"
"Csf3r","ENSG00000119535"
"Mrps15","ENSG00000116898"
"Oscp1","ENSG00000116885"
"Lsm10","ENSG00000181817"
"Stk40","ENSG00000196182"
"Eva1b","ENSG00000142694"
"Sh3d21","ENSG00000214193"
"Thrap3","ENSG00000054118"
"Map7d1","ENSG00000116871"
"Trappc3","ENSG00000054116"
"Col8a2","ENSG00000171812"
"Tekt2","ENSG00000092850"
"Ago3","ENSG00000126070"
"Ago1","ENSG00000092847"
"Ago4","ENSG00000134698"
"Clspn","ENSG00000092853"
"5730409E04Rik","ENSG00000142686"
"Psmb2","ENSG00000126067"
"Tfap2e","ENSG00000116819"
"Ncdn","ENSG00000020129"
"AU040320","ENSG00000142687"
"Zmym4","ENSG00000146463"
"Sfpq","ENSG00000116560"
"Zmym1","ENSG00000197056"
"Zmym6","ENSG00000163867"
"Dlgap3","ENSG00000116544"
"Smim12","ENSG00000163866"
"Gja4","ENSG00000187513"
"Gjb3","ENSG00000188910"
"Gjb4","ENSG00000189433"
"Gjb5","ENSG00000189280"
"CK137956","ENSG00000142698"
"Csmd2","ENSG00000121904"
"Hmgb4","ENSG00000176256"
"Zscan20","ENSG00000121903"
"Phc2","ENSG00000134686"
"A3galt2","ENSG00000184389"
"Zfp362","ENSG00000160094"
"Trim62","ENSG00000116525"
"Ak2","ENSG00000004455"
"Rnf19b","ENSG00000116514"
"Tmem54","ENSG00000121900"
"Hpca","ENSG00000121905"
"Fndc5","ENSG00000160097"
"S100pbp","ENSG00000116497"
"C77080","ENSG00000162522"
"Sync","ENSG00000162520"
"Rbbp4","ENSG00000162521"
"Zbtb8os","ENSG00000176261"
"Zbtb8a","ENSG00000160062"
"Zbtb8b","ENSG00000273274"
"Bsdc1","ENSG00000160058"
"Tssk3","ENSG00000162526"
"Fam229a","ENSG00000225828"
"Marcksl1","ENSG00000175130"
"Hdac1","ENSG00000116478"
"Lck","ENSG00000182866"
"Fam167b","ENSG00000183615"
"Eif3i","ENSG00000084623"
"Tmem234","ENSG00000160055"
"Dcdc2b","ENSG00000222046"
"Iqcc","ENSG00000160051"
"Ccdc28b","ENSG00000160050"
"Txlna","ENSG00000084652"
"Kpna6","ENSG00000025800"
"Tmem39b","ENSG00000121775"
"Khdrbs1","ENSG00000121774"
"Ptp4a2","ENSG00000184007"
"Spocd1","ENSG00000134668"
"Col16a1","ENSG00000084636"
"Pef1","ENSG00000162517"
"Hcrtr1","ENSG00000121764"
"Tinagl1","ENSG00000142910"
"Serinc2","ENSG00000168528"
"Fabp3","ENSG00000121769"
"Zcchc17","ENSG00000121766"
"Snrnp40","ENSG00000060688"
"Nkain1","ENSG00000084628"
"Pum1","ENSG00000134644"
"Sdc3","ENSG00000162512"
"Laptm5","ENSG00000162511"
"Matn1","ENSG00000162510"
"Ptpru","ENSG00000060656"
"Mecr","ENSG00000116353"
"Srsf4","ENSG00000116350"
"Tmem200b","ENSG00000253304"
"Oprd1","ENSG00000116329"
"Ythdf2","ENSG00000198492"
"Gmeb1","ENSG00000162419"
"Taf12","ENSG00000120656"
"Rab42","ENSG00000188060"
"Trnau1ap","ENSG00000180098"
"Rcc1","ENSG00000180198"
"Phactr4","ENSG00000204138"
"Med18","ENSG00000130772"
"Sesn2","ENSG00000130766"
"Dnajc8","ENSG00000126698"
"Ptafr","ENSG00000169403"
"Eya3","ENSG00000158161"
"Xkr8","ENSG00000158156"
"Smpdl3b","ENSG00000130768"
"Rpa2","ENSG00000117748"
"Themis2","ENSG00000130775"
"Ppp1r8","ENSG00000117751"
"Stx12","ENSG00000117758"
"Fam76a","ENSG00000009780"
"Fgr","ENSG00000000938"
"Ahdc1","ENSG00000126705"
"Wasf2","ENSG00000158195"
"Gpr3","ENSG00000181773"
"Cd164l2","ENSG00000174950"
"Map3k6","ENSG00000142733"
"Sytl1","ENSG00000142765"
"Tmem222","ENSG00000186501"
"Wdtc1","ENSG00000142784"
"Slc9a1","ENSG00000090020"
"Trnp1","ENSG00000253368"
"Nudc","ENSG00000090273"
"Nr0b2","ENSG00000131910"
"Gpatch3","ENSG00000198746"
"Gpn2","ENSG00000142751"
"Sfn","ENSG00000175793"
"Zdhhc18","ENSG00000204160"
"Pigv","ENSG00000060642"
"Arid1a","ENSG00000117713"
"Rps6ka1","ENSG00000117676"
"Dhdds","ENSG00000117682"
"Lin28a","ENSG00000131914"
"Ubxn11","ENSG00000158062"
"Sh3bgrl3","ENSG00000142669"
"Cep85","ENSG00000130695"
"Catsper4","ENSG00000188782"
"Cnksr1","ENSG00000142675"
"Zfp593","ENSG00000142684"
"Grrp1","ENSG00000197245"
"Pdik1l","ENSG00000175087"
"Trim63","ENSG00000158022"
"Slc30a2","ENSG00000158014"
"Extl1","ENSG00000158008"
"Pafah2","ENSG00000158006"
"Stmn1","ENSG00000117632"
"Paqr7","ENSG00000182749"
"Mtfr1l","ENSG00000117640"
"Man1c1","ENSG00000117643"
"Ldlrap1","ENSG00000157978"
"Rhd","ENSG00000188672"
"Tmem50a","ENSG00000183726"
"Syf2","ENSG00000117614"
"Runx3","ENSG00000020633"
"Clic4","ENSG00000169504"
"Ncmap","ENSG00000184454"
"Rcan3","ENSG00000117602"
"Nipal3","ENSG00000001461"
"Stpg1","ENSG00000001460"
"Grhl3","ENSG00000158055"
"Ifnlr1","ENSG00000185436"
"Il22ra1","ENSG00000142677"
"Myom3","ENSG00000142661"
"Srsf10","ENSG00000188529"
"Pnrc2","ENSG00000189266"
"Cnr2","ENSG00000188822"
"Fuca1","ENSG00000179163"
"Hmgcl","ENSG00000117305"
"Gale","ENSG00000117308"
"Lypla2","ENSG00000011009"
"Pithd1","ENSG00000057757"
"Rpl11","ENSG00000142676"
"Id3","ENSG00000117318"
"E2f2","ENSG00000007968"
"Asap3","ENSG00000088280"
"Tcea3","ENSG00000204219"
"Zfp46","ENSG00000125945"
"Hnrnpr","ENSG00000125944"
"Htr1d","ENSG00000179546"
"Luzp1","ENSG00000169641"
"Kdm1a","ENSG00000004487"
"Lactbl1","ENSG00000215906"
"Ephb2","ENSG00000133216"
"C1qb","ENSG00000173369"
"C1qc","ENSG00000159189"
"C1qa","ENSG00000173372"
"Epha8","ENSG00000070886"
"Zbtb40","ENSG00000184677"
"Wnt4","ENSG00000162552"
"Cela3b","ENSG00000219073"
"Hspg2","ENSG00000142798"
"Ldlrad2","ENSG00000187942"
"Usp48","ENSG00000090686"
"Rap1gap","ENSG00000076864"
"Alpl","ENSG00000162551"
"Ece1","ENSG00000117298"
"Eif4g3","ENSG00000075151"
"Hp1bp3","ENSG00000127483"
"Sh2d5","ENSG00000189410"
"Kif17","ENSG00000117245"
"Ddost","ENSG00000244038"
"Pink1","ENSG00000158828"
"Cda","ENSG00000158825"
"Fam43b","ENSG00000183114"
"Mul1","ENSG00000090432"
"Camk2n1","ENSG00000162545"
"Vwa5b1","ENSG00000158816"
"Ubxn10","ENSG00000162543"
"Pla2g2c","ENSG00000187980"
"Pla2g2f","ENSG00000158786"
"Pla2g2d","ENSG00000117215"
"Pla2g5","ENSG00000127472"
"Pla2g2e","ENSG00000188784"
"Otud3","ENSG00000169914"
"Rnf186","ENSG00000178828"
"Tmco4","ENSG00000162542"
"Htr6","ENSG00000158748"
"Capzb","ENSG00000077549"
"Akr7a5","ENSG00000053371"
"Mrto4","ENSG00000053372"
"Emc1","ENSG00000127463"
"Ubr4","ENSG00000127481"
"Iffo2","ENSG00000169991"
"Aldh4a1","ENSG00000159423"
"Tas1r2","ENSG00000179002"
"Pax7","ENSG00000009709"
"Klhdc7a","ENSG00000179023"
"Igsf21","ENSG00000117154"
"Arhgef10l","ENSG00000074964"
"Rcc2","ENSG00000179051"
"Padi6","ENSG00000276747"
"Padi4","ENSG00000159339"
"Padi3","ENSG00000142619"
"Padi1","ENSG00000142623"
"Padi2","ENSG00000117115"
"Sdhb","ENSG00000117118"
"Atp13a2","ENSG00000159363"
"Mfap2","ENSG00000117122"
"Crocc","ENSG00000058453"
"Necap2","ENSG00000157191"
"Spata21","ENSG00000187144"
"Szrd1","ENSG00000055070"
"Fbxo42","ENSG00000037637"
"Arhgef19","ENSG00000142632"
"Epha2","ENSG00000142627"
"Fam131c","ENSG00000185519"
"Clcnka","ENSG00000184908"
"Clcnkb","ENSG00000186510"
"Hspb7","ENSG00000173641"
"Zbtb17","ENSG00000116809"
"Spen","ENSG00000065526"
"Fblim1","ENSG00000162458"
"Tmem82","ENSG00000162460"
"Slc25a34","ENSG00000162461"
"Plekhm2","ENSG00000116786"
"Ddi2","ENSG00000197312"
"Rsc1a1","ENSG00000215695"
"Agmat","ENSG00000116771"
"Dnajc16","ENSG00000116138"
"Casp9","ENSG00000132906"
"Cela2a","ENSG00000142615"
"Ctrc","ENSG00000162438"
"Efhd2","ENSG00000142634"
"Fhad1","ENSG00000142621"
"Tmem51","ENSG00000171729"
"Kazn","ENSG00000189337"
"Prdm2","ENSG00000116731"
"Pdpn","ENSG00000162493"
"Lrrc38","ENSG00000162494"
"Pramef8","ENSG00000182330"
"Pramef12","ENSG00000116726"
"Aadacl3","ENSG00000188984"
"Dhrs3","ENSG00000162496"
"Vps13d","ENSG00000048707"
"Tnfrsf1b","ENSG00000028137"
"Tnfrsf8","ENSG00000120949"
"Gm13212","ENSG00000204611"
"Zfp600","ENSG00000204611"
"Rex2","ENSG00000204611"
"Zfp534","ENSG00000204611"
"Miip","ENSG00000116691"
"Mfn2","ENSG00000116688"
"Plod1","ENSG00000083444"
"2510039O18Rik","ENSG00000116685"
"Nppa","ENSG00000175206"
"Clcn6","ENSG00000011021"
"Mthfr","ENSG00000177000"
"Agtrap","ENSG00000177674"
"Draxin","ENSG00000162490"
"Mad2l2","ENSG00000116670"
"Fbxo6","ENSG00000116663"
"Fbxo44","ENSG00000132879"
"Fbxo2","ENSG00000116661"
"Ubiad1","ENSG00000120942"
"Mtor","ENSG00000198793"
"Angptl7","ENSG00000171819"
"Exosc10","ENSG00000171824"
"Srm","ENSG00000116649"
"Masp2","ENSG00000009724"
"Tardbp","ENSG00000120948"
"Gm572","ENSG00000175262"
"Casz1","ENSG00000130940"
"Pex14","ENSG00000142655"
"Dffa","ENSG00000160049"
"Cort","ENSG00000241563"
"Pgd","ENSG00000142657"
"Kif1b","ENSG00000054523"
"Ube4b","ENSG00000130939"
"Rbp7","ENSG00000162444"
"Nmnat1","ENSG00000173614"
"Lzic","ENSG00000162441"
"Ctnnbip1","ENSG00000178585"
"Clstn1","ENSG00000171603"
"Pik3cd","ENSG00000171608"
"Tmem201","ENSG00000188807"
"Slc25a33","ENSG00000171612"
"Spsb1","ENSG00000171621"
"H6pd","ENSG00000049239"
"Gpr157","ENSG00000180758"
"Slc2a5","ENSG00000142583"
"Slc2a7","ENSG00000197241"
"Car6","ENSG00000131686"
"Eno1","ENSG00000074800"
"Rere","ENSG00000142599"
"Slc45a1","ENSG00000162426"
"Errfi1","ENSG00000116285"
"Park7","ENSG00000116288"
"Tnfrsf9","ENSG00000049249"
"Camta1","ENSG00000171735"
"Uts2","ENSG00000049247"
"Per3","ENSG00000049246"
"Vamp3","ENSG00000049245"
"Dnajc11","ENSG00000007923"
"Thap3","ENSG00000041988"
"Phf13","ENSG00000116273"
"Klhl21","ENSG00000162413"
"Zbtb48","ENSG00000204859"
"Tas1r1","ENSG00000173662"
"Nol9","ENSG00000162408"
"Plekhg5","ENSG00000171680"
"Tnfrsf25","ENSG00000215788"
"Espn","ENSG00000187017"
"Hes2","ENSG00000069812"
"Acot7","ENSG00000097021"
"Gpr153","ENSG00000158292"
"Hes3","ENSG00000173673"
"Icmt","ENSG00000116237"
"Rnf207","ENSG00000158286"
"Rpl22","ENSG00000116251"
"Chd5","ENSG00000116254"
"Kcnab2","ENSG00000069424"
"Nphp4","ENSG00000131697"
"Ajap1","ENSG00000196581"
"A430005L14Rik","ENSG00000198912"
"Dffb","ENSG00000169598"
"Cep104","ENSG00000116198"
"Lrrc47","ENSG00000130764"
"Smim1","ENSG00000235169"
"Ccdc27","ENSG00000162592"
"Trp73","ENSG00000078900"
"Wrap73","ENSG00000116213"
"Tprgl","ENSG00000158109"
"Megf6","ENSG00000162591"
"Arhgef16","ENSG00000130762"
"Prdm16","ENSG00000142611"
"Actrt2","ENSG00000169717"
"Ttc34","ENSG00000215912"
"Mmel1","ENSG00000142606"
"Tnfrsf14","ENSG00000157873"
"Hes5","ENSG00000197921"
"Pank4","ENSG00000157881"
"Plch2","ENSG00000149527"
"Pex10","ENSG00000157911"
"Rer1","ENSG00000157916"
"Morn1","ENSG00000116151"
"Ski","ENSG00000157933"
"Prkcz","ENSG00000067606"
"Gabrd","ENSG00000187730"
"Tmem52","ENSG00000178821"
"Gnb1","ENSG00000078369"
"Nadk","ENSG00000008130"
"Slc35e2","ENSG00000189339"
"Cdk11b","ENSG00000008128"
"Mmp23","ENSG00000189409"
"Mib2","ENSG00000197530"
"Ssu72","ENSG00000160075"
"Tmem240","ENSG00000205090"
"Atad3a","ENSG00000197785"
"Vwa1","ENSG00000179403"
"Tmem88b","ENSG00000205116"
"Ankrd65","ENSG00000235098"
"Mrpl20","ENSG00000242485"
"Ccnl2","ENSG00000221978"
"Aurkaip1","ENSG00000175756"
"Mxra8","ENSG00000162576"
"Dvl1","ENSG00000107404"
"Tas1r3","ENSG00000169962"
"Pusl1","ENSG00000169972"
"Acap3","ENSG00000131584"
"Ube2j2","ENSG00000160087"
"B3galt6","ENSG00000176022"
"Sdf4","ENSG00000078808"
"Tnfrsf4","ENSG00000186827"
"Tnfrsf18","ENSG00000186891"
"Ttll10","ENSG00000162571"
"9430015G10Rik","ENSG00000131591"
"Rnf223","ENSG00000237330"
"Agrn","ENSG00000188157"
"Isg15","ENSG00000187608"
"Plekhn1","ENSG00000187583"
"Noc2l","ENSG00000188976"
"Samd11","ENSG00000187634"
"Cdk6","ENSG00000105810"
"Fam133b","ENSG00000234545"
"Rbm48","ENSG00000127993"
"Pex1","ENSG00000127980"
"Gatad1","ENSG00000157259"
"Ankib1","ENSG00000001629"
"Krit1","ENSG00000001631"
"Lrrd1","ENSG00000240720"
"Cyp51","ENSG00000001630"
"Fzd1","ENSG00000157240"
"Cdk14","ENSG00000058091"
"Cldn12","ENSG00000157224"
"Gtpbp10","ENSG00000105793"
"Steap2","ENSG00000157214"
"Steap1","ENSG00000164647"
"Zfp804b","ENSG00000182348"
"Steap4","ENSG00000127954"
"Sri","ENSG00000075142"
"Adam22","ENSG00000008277"
"Dbf4","ENSG00000006634"
"Slc25a40","ENSG00000075303"
"Rundc3b","ENSG00000105784"
"Abcb1a","ENSG00000085563"
"Abcb4","ENSG00000005471"
"Crot","ENSG00000005469"
"Tmem243","ENSG00000135185"
"Dmtf1","ENSG00000135164"
"Grm3","ENSG00000198822"
"Sema3d","ENSG00000153993"
"Sema3a","ENSG00000075213"
"Sema3e","ENSG00000170381"
"Pclo","ENSG00000186472"
"Cacna2d1","ENSG00000153956"
"Hgf","ENSG00000019991"
"Sema3c","ENSG00000075223"
"Cd36","ENSG00000135218"
"Gnat3","ENSG00000214415"
"Gnai1","ENSG00000127955"
"Magi2","ENSG00000187391"
"Phtf2","ENSG00000006576"
"Tmem60","ENSG00000135211"
"Rsbn1l","ENSG00000187257"
"Ptpn12","ENSG00000127947"
"Gsap","ENSG00000186088"
"Ccdc146","ENSG00000135205"
"Fgl2","ENSG00000127951"
"Fam185a","ENSG00000222011"
"Fbxl13","ENSG00000161040"
"Lrrc17","ENSG00000128606"
"Armc10","ENSG00000170632"
"Napepld","ENSG00000161048"
"Pmpcb","ENSG00000105819"
"Dnajc2","ENSG00000105821"
"Psmc2","ENSG00000161057"
"Slc26a5","ENSG00000170615"
"Reln","ENSG00000189056"
"Orc5","ENSG00000164815"
"Lhfpl3","ENSG00000187416"
"Kmt2e","ENSG00000005483"
"Srpk2","ENSG00000135250"
"Pus7","ENSG00000091127"
"Rint1","ENSG00000135249"
"Tomm7","ENSG00000196683"
"Klhl7","ENSG00000122550"
"Kcnh2","ENSG00000055118"
"Nos3","ENSG00000164867"
"Atg9b","ENSG00000181652"
"Abcb8","ENSG00000197150"
"Asic3","ENSG00000213199"
"Cdk5","ENSG00000164885"
"Slc4a2","ENSG00000164889"
"Fastk","ENSG00000164896"
"Tmub1","ENSG00000164897"
"Agap3","ENSG00000133612"
"Gbx1","ENSG00000164900"
"Asb10","ENSG00000146926"
"Abcf2","ENSG00000033050"
"Chpf2","ENSG00000033100"
"Smarcd3","ENSG00000082014"
"Nub1","ENSG00000013374"
"Wdr86","ENSG00000187260"
"Crygn","ENSG00000127377"
"Rheb","ENSG00000106615"
"Prkag2","ENSG00000106617"
"Galntl5","ENSG00000106648"
"Galnt11","ENSG00000178234"
"Kmt2c","ENSG00000055609"
"Cct8l1","ENSG00000198445"
"Xrcc2","ENSG00000196584"
"Actr3b","ENSG00000133627"
"Dpp6","ENSG00000130226"
"Htr5a","ENSG00000157219"
"Insig1","ENSG00000186480"
"En2","ENSG00000164778"
"Cnpy1","ENSG00000146910"
"Shh","ENSG00000164690"
"Rnf32","ENSG00000105982"
"Lmbr1","ENSG00000105983"
"Nom1","ENSG00000146909"
"Mnx1","ENSG00000130675"
"Ube3c","ENSG00000009335"
"Dnajb6","ENSG00000105993"
"Il6","ENSG00000136244"
"Tyms","ENSG00000176890"
"Hadha","ENSG00000084754"
"Hadhb","ENSG00000138029"
"Drc1","ENSG00000157856"
"Otof","ENSG00000115155"
"Cib4","ENSG00000157884"
"Kcnk3","ENSG00000171303"
"Slc35f6","ENSG00000213699"
"Cenpa","ENSG00000115163"
"Dpysl5","ENSG00000157851"
"Mapre3","ENSG00000084764"
"Tmem214","ENSG00000119777"
"Agbl5","ENSG00000084693"
"Emilin1","ENSG00000138080"
"Khk","ENSG00000138030"
"Cgref1","ENSG00000138028"
"Preb","ENSG00000138073"
"Tcf23","ENSG00000163792"
"Slc5a6","ENSG00000138074"
"Atraid","ENSG00000138085"
"Cad","ENSG00000084774"
"Slc30a3","ENSG00000115194"
"Dnajc5g","ENSG00000163793"
"Trim54","ENSG00000138100"
"Ucn","ENSG00000163794"
"Mpv17","ENSG00000115204"
"Gtf3c2","ENSG00000115207"
"Eif2b4","ENSG00000115211"
"Snx17","ENSG00000115234"
"Zfp513","ENSG00000163795"
"Ppm1g","ENSG00000115241"
"Nrbp1","ENSG00000115216"
"Krtcap3","ENSG00000157992"
"Ift172","ENSG00000138002"
"Fndc4","ENSG00000115226"
"Gckr","ENSG00000084734"
"Zfp512","ENSG00000243943"
"Gpn1","ENSG00000198522"
"Supt7l","ENSG00000119760"
"Slc4a1ap","ENSG00000163798"
"Mrpl33","ENSG00000243147"
"Rbks","ENSG00000171174"
"Fosl2","ENSG00000075426"
"Plb1","ENSG00000163803"
"Ppp1cb","ENSG00000213639"
"Yes1","ENSG00000176105"
"Pisd","ENSG00000241878"
"Prr14l","ENSG00000183530"
"Depdc5","ENSG00000100150"
"Ywhah","ENSG00000128245"
"Slc5a1","ENSG00000100170"
"Spon2","ENSG00000159674"
"Ctbp1","ENSG00000159692"
"Maea","ENSG00000090316"
"Uvssa","ENSG00000163945"
"Fam53a","ENSG00000174137"
"Slbp","ENSG00000163950"
"Tmem129","ENSG00000168936"
"Tacc3","ENSG00000013810"
"Fgfr3","ENSG00000068078"
"Letm1","ENSG00000168924"
"Nelfa","ENSG00000185049"
"Nat8l","ENSG00000185818"
"Haus3","ENSG00000214367"
"Mxd4","ENSG00000123933"
"Zfyve28","ENSG00000159733"
"Rnf4","ENSG00000063978"
"Fam193a","ENSG00000125386"
"Tnip2","ENSG00000168884"
"Sh3bp2","ENSG00000087266"
"Add1","ENSG00000087274"
"Mfsd10","ENSG00000109736"
"Nop14","ENSG00000087269"
"Grk4","ENSG00000125388"
"Htt","ENSG00000197386"
"Msantd1","ENSG00000188981"
"Rgs12","ENSG00000159788"
"Hgfac","ENSG00000109758"
"Dok7","ENSG00000175920"
"Lrpap1","ENSG00000163956"
"Adra2c","ENSG00000184160"
"Hmx1","ENSG00000215612"
"Cpz","ENSG00000109625"
"Trmt44","ENSG00000155275"
"Acox3","ENSG00000087008"
"Htra3","ENSG00000170801"
"Sh3tc1","ENSG00000125089"
"Ablim2","ENSG00000163995"
"Afap1","ENSG00000196526"
"Sorcs2","ENSG00000184985"
"Psapl1","ENSG00000178597"
"Grpel1","ENSG00000109519"
"Tada2b","ENSG00000173011"
"Ccdc96","ENSG00000173013"
"Tbc1d14","ENSG00000132405"
"D5Ertd579e","ENSG00000170871"
"Bloc1s4","ENSG00000186222"
"Mrfap1","ENSG00000179010"
"Man2b2","ENSG00000013288"
"Ppp2r2c","ENSG00000074211"
"Wfs1","ENSG00000109501"
"Jakmip1","ENSG00000152969"
"Gm1043","ENSG00000181215"
"Crmp1","ENSG00000072832"
"Evc","ENSG00000072840"
"Evc2","ENSG00000173040"
"Stk32b","ENSG00000152953"
"Cytl1","ENSG00000170891"
"Msx1","ENSG00000163132"
"Stx18","ENSG00000168818"
"Nsg1","ENSG00000168824"
"Zbtb49","ENSG00000168826"
"Lyar","ENSG00000145220"
"Tmem128","ENSG00000132406"
"Otop1","ENSG00000163982"
"Drd5","ENSG00000169676"
"Slc2a9","ENSG00000109667"
"Wdr1","ENSG00000071127"
"Zfp518b","ENSG00000178163"
"Clnk","ENSG00000109684"
"Hs3st1","ENSG00000002587"
"Rab28","ENSG00000157869"
"Nkx3-2","ENSG00000109705"
"Bod1l","ENSG00000038219"
"Cpeb2","ENSG00000137449"
"C1qtnf7","ENSG00000163145"
"Cc2d2a","ENSG00000048342"
"Fbxl5","ENSG00000118564"
"Bst1","ENSG00000109743"
"Cd38","ENSG00000004468"
"Fgfbp1","ENSG00000137440"
"Prom1","ENSG00000007062"
"Tapt1","ENSG00000169762"
"Ldb2","ENSG00000169744"
"Qdpr","ENSG00000151552"
"Clrn2","ENSG00000249581"
"Lap3","ENSG00000002549"
"Med28","ENSG00000118579"
"Ncapg","ENSG00000109805"
"Lcorl","ENSG00000178177"
"Slit2","ENSG00000145147"
"Kcnip4","ENSG00000185774"
"Ppargc1a","ENSG00000109819"
"Dhx15","ENSG00000109606"
"Sod3","ENSG00000109610"
"Ccdc149","ENSG00000181982"
"Lgi2","ENSG00000153012"
"Sepsecs","ENSG00000109618"
"Pi4k2b","ENSG00000038210"
"Zcchc4","ENSG00000168228"
"Anapc4","ENSG00000053900"
"Slc34a2","ENSG00000157765"
"Sel1l3","ENSG00000091490"
"Smim20","ENSG00000250317"
"Rbpj","ENSG00000168214"
"Cckar","ENSG00000163394"
"Tbc1d19","ENSG00000109680"
"Stim2","ENSG00000109689"
